#exposure,usb_transfer_done,sent_to_basalt,flushed,cam_index,source_sequence
624859892621,624865570582,624865634482,624889183311,0,511
624859892621,624865570582,624866366657,624889183311,1,511
624893537196,624898239352,624898319392,624925521830,0,514
624893537196,624898239352,624899100799,624925521830,1,514
624926685785,624931479715,624931591024,624947753716,0,517
624926685785,624931479715,624932287812,624947753716,1,517
624959830948,624964928529,624965024439,624992259678,0,520
624959830948,624964928529,624966021190,624992259678,1,520
624992973618,624998247740,624998375299,625022520588,0,523
624992973618,624998247740,624999249761,625022520588,1,523
625026621521,625031543567,625031620681,625058987398,0,526
625026621521,625031543567,625032420864,625058987398,1,526
625059768474,625064905508,625065020844,625089160121,0,529
625059768474,625064905508,625065814594,625089160121,1,529
625092910992,625097977605,625098102108,625114481558,0,532
625092910992,625097977605,625098876983,625114481558,1,532
625126584956,625131313587,625131400430,625147914252,0,535
625126584956,625131313587,625132023931,625147914252,1,535
625159707901,625164645401,625164744197,625181199840,0,538
625159707901,625164645401,625165575107,625181199840,1,538
625192852540,625197898648,625198013955,625214568263,0,541
625192852540,625197898648,625198751289,625214568263,1,541
625226503553,625231284004,625231374473,625247953097,0,544
625226503553,625231284004,625232032248,625247953097,1,544
625259648978,625264585982,625264665822,625289179412,0,547
625259648978,625264585982,625265627116,625289179412,1,547
625292790441,625297797671,625297921333,625314837089,0,550
625292790441,625297797671,625298703802,625314837089,1,550
625325923995,625331199497,625331280449,625355847840,0,553
625325923995,625331199497,625332141085,625355847840,1,553
625359564740,625364447915,625364564854,625389194652,0,556
625359564740,625364447915,625365306667,625389194652,1,556
625392712026,625397689029,625397829483,625414959341,0,559
625392712026,625397689029,625398675040,625414959341,1,559
625425848926,625430825808,625430907240,625448325981,0,562
625425848926,625430825808,625431714195,625448325981,1,562
625458993258,625464171077,625464255566,625481677953,0,565
625458993258,625464171077,625465029609,625481677953,1,565
625492636462,625497433161,625497562043,625515114875,0,568
625492636462,625497433161,625498301661,625515114875,1,568
625525775386,625530731072,625530813767,625548460225,0,571
625525775386,625530731072,625531478024,625548460225,1,571
625558908774,625564083966,625564171841,625581852473,0,574
625558908774,625564083966,625564961764,625581852473,1,574
625592577522,625597359354,625597466886,625615178997,0,577
625592577522,625597359354,625598267389,625615178997,1,577
625625686744,625630608744,625630774095,625648586534,0,580
625625686744,625630608744,625631544882,625648586534,1,580
625658836423,625663981405,625664100689,625681781051,0,583
625658836423,625663981405,625664834026,625681781051,1,583
625692484009,625697191491,625697306227,625715119418,0,586
625692484009,625697191491,625698122850,625715119418,1,586
625725655095,625730540658,625730613054,625748438989,0,589
625725655095,625730540658,625731424458,625748438989,1,589
625758802127,625763826537,625763912288,625781891520,0,592
625758802127,625763826537,625764686190,625781891520,1,592
625791955971,625797060988,625797161176,625815093541,0,595
625791955971,625797060988,625797866741,625815093541,1,595
625825581637,625830302093,625830379818,625848517058,0,598
625825581637,625830302093,625831054305,625848517058,1,598
625858738528,625863646090,625863747981,625881754425,0,601
625858738528,625863646090,625864552662,625881754425,1,601
625891867414,625896912341,625897051543,625915052306,0,604
625891867414,625896912341,625897786292,625915052306,1,604
625925506325,625930213378,625930296123,625948521218,0,607
625925506325,625930213378,625931035772,625948521218,1,607
625958670630,625963653546,625963745208,625989168396,0,610
625958670630,625963653546,625964469307,625989168396,1,610
