#exposure,usb_transfer_done,sent_to_basalt,flushed,cam_index,source_sequence
7470053281394,7470073879875,7470082688035,7470126005511,0,149
7470053281394,7470082685911,7470083588862,7470126005511,1,149
7470086571094,7470092261519,7470098010088,7470151778882,0,150
7470086571094,7470097989870,7470098556732,7470151778882,1,150
7470119866994,7470123007755,7470125724234,7470151862469,0,151
7470119866994,7470125722381,7470126083728,7470151862469,1,151
7470153150094,7470155417138,7470157305886,7470185746563,0,152
7470153150094,7470157304984,7470157491363,7470185746563,1,152
7470186438294,7470188908987,7470190947857,7470249841101,0,153
7470186438294,7470190946995,7470191172147,7470249841101,1,153
7470219735494,7470230168548,7470237780588,7470282969339,0,154
7470219735494,7470237773765,7470238413914,7470282969339,1,154
7470253016694,7470257044204,7470260622598,7470291807666,0,155
7470253016694,7470260621275,7470260973355,7470291807666,1,155
7470286306294,7470289186756,7470291576643,7470317128650,0,156
7470286306294,7470291575121,7470291905570,7470317128650,1,156
7470319602794,7470322023209,7470323880548,7470351019868,0,157
7470319602794,7470323879696,7470324063420,7470351019868,1,157
7470352887394,7470355046741,7470356837055,7470385009901,0,158
7470352887394,7470356836294,7470357019817,7470385009901,1,158
7470386174294,7470388569739,7470390442418,7470419047693,0,159
7470386174294,7470390441556,7470390618087,7470419047693,1,159
7470419464394,7470421851846,7470423678849,7470452323288,0,160
7470419464394,7470423677867,7470423869757,7470452323288,1,160
7470452755094,7470455085613,7470456975012,7470485365616,0,161
7470452755094,7470456973299,7470457177872,7470485365616,1,161
7470486044294,7470488414658,7470490241420,7470518233557,0,162
7470486044294,7470490238985,7470490448738,7470518233557,1,162
7470519333094,7470521568054,7470524104094,7470551220822,0,163
7470519333094,7470524103243,7470524458138,7470551220822,1,163
7470552621094,7470554974894,7470556789253,7470585745426,0,164
7470552621094,7470556787029,7470557001400,7470585745426,1,164
7470585912794,7470600951151,7470608922544,7470650441300,0,165
7470585912794,7470608920139,7470609648033,7470650441300,1,165
7470619200394,7470624272198,7470628350478,7470667644266,0,166
7470619200394,7470628348214,7470628744506,7470667644266,1,166
7470652489394,7470655367288,7470657946149,7470684743328,0,167
7470652489394,7470657944716,7470658201067,7470684743328,1,167
7470685780094,7470688170528,7470690102828,7470751311479,0,168
7470685780094,7470690101135,7470690289167,7470751311479,1,168
7470719068994,7470735405693,7470743902129,7470784955975,0,169
7470719068994,7470743896759,7470744630654,7470784955975,1,169
7470752361194,7470757117956,7470761154819,7470801982290,0,170
7470752361194,7470761153145,7470761541673,7470801982290,1,170
7470785648094,7470788429592,7470790939043,7470818975764,0,171
7470785648094,7470790937400,7470791203979,7470818975764,1,171
7470818937594,7470821602835,7470823603393,7470892378769,0,172
7470818937594,7470823602341,7470823784111,7470892378769,1,172
7470852237994,7470859242866,7470864888912,7470900601542,0,173
7470852237994,7470864884334,7470865436428,7470900601542,1,173
7470885515594,7470889073337,7470892072625,7470917727665,0,174
7470885515594,7470892068678,7470892476812,7470917727665,1,174
7470918804594,7470921525860,7470923870582,7470950682378,0,175
7470918804594,7470923869019,7470924084212,7470950682378,1,175
7470952101294,7470954337706,7470956204643,7470982636287,0,176
7470952101294,7470956203351,7470956387245,7470982636287,1,176
7470985383294,7470987841929,7470989664202,7471016185204,0,177
