#sampled,frames_original_timestamp,frames_read_started,frames_read,frames_pushed,frontend_frames_received,frontend_preintegration_computed,frontend_pyramid_created,frontend_tracking_ended,frontend_recall_ended,frontend_detection_cam0_ended,frontend_matching_ended,frontend_detection_cami_ended,frontend_filter_ended,frontend_keypoints_pushed,backend_keypoints_received,backend_observations_processed,backend_cumulative_linearization_ended,backend_cumulative_solver_ended,backend_cumulative_backsubstitution_ended,backend_cumulative_error_computed,backend_optimization_ended,backend_marginalization_ended,backend_state_pushed,consumer_state_received,consumer_state_pushed,vit_consumer_pose_received,received_by_monado
7466724343894,7466724343894,36357267674756,36357268018561,36357268018601,36357268046393,36357268100093,36357268777272,36357275295082,36357275300983,36357275907018,36357276937929,36357278532216,36357278542365,36357278542645,36357278559998,36357278957753,36357280059077,36357283372485,36357283549577,36357283790498,36357284315109,36357284465039,36357284478344,36357284510875,36357284512669,36357289679027,36357289741053
7466757633294,7466757633294,36357301099190,36357301440239,36357301440289,36357301458443,36357301513145,36357302191847,36357308796730,36357308801539,36357309446908,36357310499500,36357312185247,36357312201358,36357312201728,36357312215073,36357312340769,36357313360989,36357316223290,36357316435796,36357316654877,36357317057124,36357317247591,36357317258912,36357317282035,36357317283899,36357322623060,36357322693983
7466790921094,7466790921094,36357334383932,36357334750328,36357334750448,36357334784252,36357334839064,36357335668188,36357341630387,36357341639544,36357342284332,36357343220365,36357344729893,36357344740803,36357344741094,36357344759188,36357344897126,36357345878433,36357348366624,36357348537485,36357348756633,36357349213762,36357349410721,36357349420580,36357349444875,36357349447190,36357356215990,36357356279228
7466824211194,7466824211194,36357367840075,36357368307510,36357368307641,36357368337968,36357368394463,36357369179825,36357375680362,36357375688457,36357376303449,36357377375758,36357379085240,36357379104426,36357379105148,36357379130325,36357379268373,36357380243160,36357382792786,36357382961013,36357383203936,36357383580191,36357383728759,36357383738778,36357383756341,36357383759146,36357391399328,36357392237037
7466857501194,7466857501194,36357418768999,36357420079745,36357420080015,36357420156749,36357420358427,36357422722415,36357439182249,36357439192599,36357440713979,36357443202771,36357446304181,36357446333856,36357446334177,36357446354014,36357446596979,36357448515083,36357453070615,36357453351900,36357453800309,36357454618125,36357454869496,36357454884775,36357454928537,36357454931112,36357455152045,36357455216696
7466890789594,7466890789594,36357438749248,36357440751299,36357440751990,36357446340328,36357446454532,36357447899479,36357458509134,36357458514484,36357459693413,36357461359063,36357463764208,36357463775249,36357463775560,36357463803562,36357463934017,36357465107464,36357468516399,36357468751057,36357469028145,36357469479224,36357469733380,36357469748799,36357469779617,36357469781801,36357472454137,36357472542763
7466924079694,7466924079694,36357468080945,36357468551607,36357468551737,36357468581402,36357468645362,36357469448968,36357476870200,36357476881932,36357477623160,36357478748769,36357480741361,36357480750068,36357480750238,36357480762782,36357480873499,36357481759749,36357484288647,36357484433528,36357484675812,36357485065702,36357485188312,36357485198431,36357485224580,36357485226453,36357489668935,36357489753965
7466957369294,7466957369294,36357500406019,36357500752518,36357500752568,36357500778056,36357500833921,36357501556965,36357507150113,36357507154251,36357507749205,36357508988326,36357510726693,36357510739236,36357510739577,36357510765586,36357511261464,36357512600074,36357516030059,36357516245494,36357516484683,36357516990457,36357517169672,36357517181935,36357517195671,36357517197775,36357522974126,36357523037033
7466990657294,7466990657294,36357533954756,36357534306545,36357534306585,36357534348543,36357534408105,36357535248810,36357541413087,36357541422114,36357542079936,36357543071554,36357544717006,36357544727897,36357544728428,36357544757983,36357544931077,36357546229910,36357549706683,36357549937096,36357550192856,36357550675358,36357550940405,36357550956655,36357550978907,36357550981011,36357556012075,36357556078850
7467023947494,7467023947494,36357567323214,36357567684060,36357567684231,36357567710440,36357567761195,36357568452670,36357574829556,36357574841849,36357575522784,36357576645558,36357578388332,36357578400686,36357578401287,36357578430061,36357578603616,36357579820656,36357582701235,36357582910558,36357583210340,36357583649669,36357583856576,36357583866485,36357583892423,36357583894838,36357589243968,36357589319931
7467057237294,7467057237294,36357600461151,36357600815555,36357600815775,36357600842546,36357600898180,36357601664375,36357636152231,36357636205611,36357639113989,36357643331369,36357648197395,36357648234544,36357648235146,36357648285911,36357648578078,36357651997242,36357658870887,36357659287387,36357660059845,36357661135321,36357661474867,36357661499233,36357661540891,36357661543927,36357669839016,36357669907234
7467090530894,7467090530894,36357643967481,36357645096065,36357645096516,36357648244533,36357648352235,36357650343485,36357663860677,36357663870976,36357664835743,36357666717539,36357669630465,36357669643680,36357669643920,36357669690217,36357669812266,36357671213623,36357675724122,36357676047106,36357676525393,36357677111820,36357677366216,36357677382617,36357677416170,36357677418514,36357688841673,36357688898249
7467123815894,7467123815894,36357669520539,36357670244566,36357670244746,36357670277517,36357670349963,36357671423033,36357681467209,36357681472128,36357682156059,36357683529532,36357685814432,36357685824531,36357685824752,36357685837846,36357685938866,36357687188957,36357690438213,36357690659698,36357690953779,36357691374558,36357691576436,36357691598397,36357691627111,36357691631610,36357701125294,36357701185868
7467157104094,7467157104094,36357700852673,36357701457296,36357701457466,36357701491881,36357701567112,36357702345280,36357709447063,36357709451421,36357709980172,36357710981948,36357712728971,36357712754178,36357712755060,36357712790446,36357712947100,36357713769139,36357716911826,36357717092092,36357717364261,36357717783379,36357717948469,36357717959489,36357717980809,36357717982522,36357723378701,36357723427543
7467190400694,7467190400694,36357733937631,36357734281876,36357734282016,36357734306362,36357734362497,36357735015160,36357741775363,36357741785282,36357742359107,36357743226642,36357744969337,36357744978644,36357744978804,36357745013640,36357745484221,36357746806989,36357749886469,36357750104630,36357750431293,36357750892182,36357751041131,36357751059565,36357751084182,36357751086165,36357756375464,36357756464781
7467223705794,7467223705794,36357767270223,36357767609879,36357767610029,36357767636078,36357767692243,36357768398025,36357774687177,36357774692697,36357775196771,36357776082070,36357777822821,36357777831838,36357777832108,36357777857546,36357778051699,36357778813737,36357781830727,36357781997147,36357782251895,36357782756132,36357782900463,36357782912826,36357782940057,36357782961908,36357789520424,36357789611184
7467256971994,7467256971994,36357800349259,36357800700557,36357800700677,36357800727247,36357800793050,36357801544248,36357807575837,36357807587228,36357808100179,36357809063353,36357810814644,36357810833629,36357810833780,36357810862053,36357811101732,36357812329544,36357816288530,36357816503634,36357816805290,36357817249638,36357817432531,36357817443061,36357817466154,36357817468048,36357822843107,36357822899502
7467290268294,7467290268294,36357833523945,36357833869773,36357833869893,36357833889790,36357833963098,36357834684880,36357840917054,36357840923887,36357841529161,36357842450777,36357844169477,36357844178754,36357844178945,36357844206657,36357844369291,36357846035582,36357850091299,36357850309767,36357850634344,36357851145305,36357851299403,36357851310755,36357851333858,36357851336032,36357856313727,36357856405439
7467323577194,7467323577194,36357867361011,36357867790035,36357867790226,36357867810854,36357867859245,36357868471091,36357874902098,36357874910344,36357875589225,36357876489141,36357878129734,36357878140024,36357878140334,36357878152697,36357878309882,36357879199578,36357882429648,36357882615025,36357882878860,36357883378136,36357883506166,36357883517828,36357883539529,36357883541823,36357889312323,36357889375160
7467356840694,7467356840694,36357900436772,36357900881405,36357900881525,36357900903206,36357900952037,36357901614809,36357907895113,36357907899892,36357908482474,36357909296549,36357911006512,36357911020338,36357911020699,36357911037450,36357911270076,36357912761508,36357916080135,36357916265071,36357916525759,36357917048841,36357917219381,36357917227576,36357917252613,36357917254476,36357923272710,36357923343302
7467390137194,7467390137194,36357933138762,36357933497975,36357933498015,36357933516570,36357933559801,36357934207885,36357940648640,36357940652037,36357941200965,36357942080863,36357943707791,36357943718241,36357943718411,36357943742035,36357943907956,36357945380205,36357948831970,36357949046413,36357949368908,36357949953511,36357950206224,36357950221383,36357950245698,36357950247692,36357957609503,36357957665868
7467423431594,7467423431594,36357966747792,36357967112775,36357967113006,36357967131520,36357967174361,36357967861428,36357973823026,36357973825510,36357974279621,36357975056546,36357976968368,36357976986792,36357976987253,36357977024763,36357977529539,36357979243491,36357983175786,36357983399144,36357983733250,36357984388808,36357984598241,36357984612888,36357984636622,36357984638416,36357991514677,36357991580931
7467456709994,7467456709994,36357999641130,36358000015972,36358000016013,36358000044426,36358000120909,36358001037817,36358006539914,36358006542218,36358007051682,36358008083205,36358009748174,36358009760978,36358009761288,36358009789782,36358009979166,36358010982037,36358014665868,36358014885880,36358015166426,36358015746580,36358016099652,36358016114720,36358016132423,36358016134407,36358025163902,36358025227751
7467489999494,7467489999494,36358033132800,36358033496211,36358033496251,36358033519725,36358033567975,36358034254291,36358039548829,36358039551073,36358040087287,36358041046925,36358042653234,36358042660899,36358042661129,36358042684002,36358042818033,36358044037448,36358048383852,36358048605387,36358048943912,36358049473330,36358049751762,36358049761801,36358049792007,36358049794201,36358058915007,36358058993474
7467523287594,7467523287594,36358066205444,36358066580878,36358066581008,36358066605544,36358066650578,36358067516150,36358072854710,36358072856744,36358073603794,36358074663809,36358076202281,36358076224503,36358076224864,36358076239832,36358076358394,36358077118687,36358079150704,36358079272521,36358079471893,36358079889108,36358080228283,36358080245636,36358080260924,36358080265443,36358092354319,36358092397319
7467556578294,7467556578294,36358100228820,36358100592732,36358100592862,36358100615584,36358100678522,36358101393952,36358106474029,36358106475913,36358107181645,36358108209310,36358109738574,36358109751689,36358109752160,36358109766196,36358109879138,36358110513707,36358112091714,36358112203223,36358112374734,36358112689803,36358112843150,36358112851536,36358112879078,36358112881753,36358125816523,36358125894339
7467589866294,7467589866294,36358133127619,36358133498494,36358133498544,36358133526246,36358133572082,36358134446800,36358139545251,36358139547074,36358140181673,36358141327309,36358142909563,36358142920313,36358142920514,36358142945771,36358143058683,36358143693111,36358145820346,36358145961660,36358146217338,36358146630534,36358146769945,36358146775495,36358146801775,36358146804339,36358159135299,36358159202665
