#exposure,usb_transfer_done,sent_to_basalt,flushed,cam_index,source_sequence
1074749709143,1074754739525,1074755441393,1074772861317,1,607
1074783352324,1074788085098,1074788170689,1074806237859,0,610
1074783352324,1074788085098,1074788769203,1074806237859,1,610
1074816500864,1074821468062,1074821552350,1074839641812,0,613
1074816500864,1074821468062,1074822163558,1074839641812,1,613
1074849634958,1074854605625,1074854694702,1074872808289,0,616
1074849634958,1074854605625,1074855307352,1074872808289,1,616
1074883287557,1074888054953,1074888175930,1074906072389,0,619
1074883287557,1074888054953,1074888734399,1074906072389,1,619
1074916411045,1074921276965,1074921385949,1074939552315,0,622
1074916411045,1074921276965,1074921988811,1074939552315,1,622
1074949549833,1074954600417,1074954677702,1074972846151,0,625
1074949549833,1074954600417,1074955290733,1074972846151,1,625
1074982689721,1074987819082,1074987893371,1075006215499,0,628
1074982689721,1074987819082,1074988502374,1075006215499,1,628
1075016329475,1075021084034,1075021161589,1075039512411,0,631
1075016329475,1075021084034,1075021720599,1075039512411,1,631
1075049486748,1075054359245,1075054441890,1075080222331,0,634
1075049486748,1075054359245,1075055052477,1075080222331,1,634
1075082653751,1075087845913,1075087920373,1075106257109,0,637
1075082653751,1075087845913,1075088534987,1075106257109,1,637
1075116291746,1075120977876,1075121047977,1075139480663,0,640
1075116291746,1075120977876,1075121647964,1075139480663,1,640
1075149436677,1075154181904,1075154267103,1075172893613,0,643
1075149436677,1075154181904,1075154726075,1075172893613,1,643
1075182574603,1075187569255,1075187644467,1075206305491,0,646
1075182574603,1075187569255,1075188264721,1075206305491,1,646
1075215721374,1075220873501,1075220940978,1075239670190,0,649
1075215721374,1075220873501,1075221546014,1075239670190,1,649
1075249355767,1075254124096,1075254250414,1075272978033,0,652
1075249355767,1075254124096,1075254852283,1075272978033,1,652
1075282499132,1075287440014,1075287513051,1075306240330,0,655
1075282499132,1075287440014,1075288126804,1075306240330,1,655
1075315647039,1075320757144,1075320817748,1075339681152,0,658
1075315647039,1075320757144,1075321362240,1075339681152,1,658
1075349292677,1075354164974,1075354251697,1075372866786,0,661
1075349292677,1075354164974,1075354852014,1075372866786,1,661
1075382433915,1075387302798,1075387411552,1075406152306,0,664
1075382433915,1075387302798,1075388062023,1075406152306,1,664
1075415582649,1075420527484,1075420648111,1075439678829,0,667
1075415582649,1075420527484,1075421286960,1075439678829,1,667
1075448737076,1075453844765,1075453935074,1075473106076,0,670
1075448737076,1075453844765,1075454519521,1075473106076,1,670
1075482372683,1075487170721,1075487245762,1075506311186,0,673
1075482372683,1075487170721,1075487843274,1075506311186,1,673
1075515522622,1075520348199,1075520424623,1075539736429,0,676
1075515522622,1075520348199,1075521034938,1075539736429,1,676
1075548662458,1075553702739,1075553787759,1075572803309,0,679
